timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636453367475,31,Medium text download 3,200,OK,Realistic WL 20 static types 1-37,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,17,0,2
1636453367493,14,Medium text upload 1,200,OK,Realistic WL 20 static types 1-43,text,true,,159,143811,50,50,http://192.168.1.80:5000/upload,14,0,1
1636453367533,23,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-45,text,true,,159,143816,50,50,http://192.168.1.80:5000/upload,23,0,3
1636453367614,11,Medium text download 2,200,OK,Realistic WL 20 static types 1-44,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,9,0,1
1636453367655,11,Medium text download 3,200,OK,Realistic WL 20 static types 1-46,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,9,0,2
1636453367673,12,Medium binary download 5,200,OK,Realistic WL 20 static types 1-47,text,true,,164115,134,50,50,http://192.168.1.80:5000/volume/160.bin,9,0,2
1636453367693,11,Medium binary download 2,200,OK,Realistic WL 20 static types 1-48,text,true,,148755,134,50,50,http://192.168.1.80:5000/volume/145.bin,8,0,1
1636453367718,20,Medium text upload 1,200,OK,Realistic WL 20 static types 1-49,text,true,,159,143787,50,50,http://192.168.1.80:5000/upload,20,0,2
1636453367747,6,Medium text download 1,200,OK,Realistic WL 20 static types 1-50,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,5,0,1
1636453368861,12,Medium text download 2,200,OK,Realistic WL 20 static types 1-1,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,10,0,1
1636453368897,16,Medium binary download 4,200,OK,Realistic WL 20 static types 1-3,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,12,0,2
1636453368938,19,Medium text upload 3,200,OK,Realistic WL 20 static types 1-5,text,true,,159,154057,50,50,http://192.168.1.80:5000/upload,18,0,4
1636453369055,14,Medium text download 2,200,OK,Realistic WL 20 static types 1-10,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,11,0,2
1636453369085,24,Medium text upload 5,200,OK,Realistic WL 20 static types 1-12,text,true,,159,164270,50,50,http://192.168.1.80:5000/upload,24,0,4
1636453369295,31,Medium text upload 4,200,OK,Realistic WL 20 static types 1-7,text,true,,159,159150,50,50,http://192.168.1.80:5000/upload,30,0,4
1636453369444,14,Medium binary download 1,200,OK,Realistic WL 20 static types 1-15,text,true,,143635,134,50,50,http://192.168.1.80:5000/volume/140.bin,12,0,1
1636453369635,28,Medium text upload 3,200,OK,Realistic WL 20 static types 1-20,text,true,,159,154054,50,50,http://192.168.1.80:5000/upload,27,0,2
1636453369674,11,Medium text download 4,200,OK,Realistic WL 20 static types 1-22,text,true,,158996,134,50,50,http://192.168.1.80:5000/volume/155.txt,8,0,1
1636453369954,13,Medium binary download 5,200,OK,Realistic WL 20 static types 1-21,text,true,,164115,134,50,50,http://192.168.1.80:5000/volume/160.bin,10,0,2
1636453370015,13,Medium text download 1,200,OK,Realistic WL 20 static types 1-24,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,10,0,1
1636453370061,27,Medium text upload 4,200,OK,Realistic WL 20 static types 1-26,text,true,,159,159165,50,50,http://192.168.1.80:5000/upload,27,0,3
1636453370178,14,Medium binary download 5,200,OK,Realistic WL 20 static types 1-27,text,true,,164115,134,50,50,http://192.168.1.80:5000/volume/160.bin,11,0,2
1636453370211,13,Medium text download 5,200,OK,Realistic WL 20 static types 1-28,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,10,0,2
1636453370341,26,Medium text upload 4,200,OK,Realistic WL 20 static types 1-30,text,true,,159,159159,50,50,http://192.168.1.80:5000/upload,26,0,2
1636453370456,8,Medium binary download 3,200,OK,Realistic WL 20 static types 1-31,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,6,0,1
1636453370918,12,Medium text download 3,200,OK,Realistic WL 20 static types 1-34,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,9,0,1
1636453370934,28,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-35,text,true,,159,143801,50,50,http://192.168.1.80:5000/upload,28,0,2
1636453371363,28,Medium text upload 4,200,OK,Realistic WL 20 static types 1-36,text,true,,159,159153,50,50,http://192.168.1.80:5000/upload,28,0,2
1636453371495,13,Medium text download 5,200,OK,Realistic WL 20 static types 1-38,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,10,0,2
1636453371785,29,Medium binary upload 5,200,OK,Realistic WL 20 static types 1-2,text,true,,159,164305,50,50,http://192.168.1.80:5000/upload,29,0,2
1636453371836,8,Medium binary download 5,200,OK,Realistic WL 20 static types 1-4,text,true,,164115,134,50,50,http://192.168.1.80:5000/volume/160.bin,6,0,2
1636453371859,29,Medium binary upload 4,200,OK,Realistic WL 20 static types 1-6,text,true,,159,159182,50,50,http://192.168.1.80:5000/upload,29,0,2
1636453371897,5,Medium binary download 4,200,OK,Realistic WL 20 static types 1-8,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,4,0,1
1636453371916,9,Medium binary download 2,200,OK,Realistic WL 20 static types 1-9,text,true,,148755,134,50,50,http://192.168.1.80:5000/volume/145.bin,7,0,1
1636453371917,8,Medium text download 5,200,OK,Realistic WL 20 static types 1-39,text,true,,164116,134,50,50,http://192.168.1.80:5000/volume/160.txt,6,0,1
