procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0   4352 1117132 983984 2957256    0    0     0   672 3026 4102 12  6 82  0  0 2021-11-09 10:24:13
 0  0   4352 1117352 983992 2957244    0    0     0   392 1887 2248  5  3 92  0  0 2021-11-09 10:24:14
 0  0   4352 1117160 984000 2957748    0    0     0   316 3785 4098  9  7 83  1  0 2021-11-09 10:24:15
 0  0   4352 1117384 984000 2957764    0    0     0   316 1691 1803  4  3 93  0  0 2021-11-09 10:24:16
 4  0   4352 1117732 984000 2957056    0    0     0  1392 2843 3236 10  6 85  0  0 2021-11-09 10:24:17
 0  0   4352 1117452 984000 2957204    0    0     0  1124 3057 3918 10  5 85  0  0 2021-11-09 10:24:18
 0  0   4352 1117484 984008 2957268    0    0     0   360 3524 3659  6  4 90  0  0 2021-11-09 10:24:19
 1  0   4352 1116876 984016 2957604    0    0     0  1108 2402 2670  8  5 86  1  0 2021-11-09 10:24:20
 0  0   4352 1116940 984016 2957768    0    0     0   300 2497 2700  4  4 92  0  0 2021-11-09 10:24:21
 2  0   4352 1117552 984016 2957248    0    0     0  1052 3088 3806 12  6 82  0  0 2021-11-09 10:24:22
 0  0   4352 1118184 984016 2957300    0    0     0  1060 3543 4659 13  6 81  0  0 2021-11-09 10:24:23
 2  0   4352 1117924 984024 2957216    0    0     0   504 1674 1882  5  3 93  0  0 2021-11-09 10:24:24
 0  1   4352 1116440 984032 2958580    0    0     0   636 2410 2539  8  5 86  0  0 2021-11-09 10:24:25
 0  0   4352 1116472 984032 2958764    0    0     0   312 1620 1822  4  3 92  1  0 2021-11-09 10:24:26
 1  0   4352 1111828 984032 2957276    0    0     0   596 4289 5007 16  5 79  0  0 2021-11-09 10:24:27
 1  0   4352 1111788 984032 2957296    0    0     0  1204 2754 3432  8  5 87  0  0 2021-11-09 10:24:28
 0  0   4352 1112008 984040 2957244    0    0     0   348 3181 3358  5  5 90  0  0 2021-11-09 10:24:29
 1  1   4352 1119884 984048 2957752    0    0     0  1080 2310 2433  8  5 87  1  0 2021-11-09 10:24:30
 0  0   4352 1119600 984048 2957768    0    0     0   412 2635 3100  7  4 89  1  0 2021-11-09 10:24:31
 1  0   4352 1119876 984048 2957336    0    0     0   620 2685 3445 10  5 86  0  0 2021-11-09 10:24:32
 3  0   4352 1119948 984048 2957280    0    0     0  1236 3320 4716  9  6 85  0  0 2021-11-09 10:24:33
 0  0   4352 1119992 984056 2957260    0    0     0   356 1607 1882  5  3 92  0  0 2021-11-09 10:24:34
 0  1   4352 1119820 984064 2957836    0    0     0   920 2454 2588  8  4 87  1  0 2021-11-09 10:24:35
 1  0   4352 1119724 984064 2957836    0    0     0   312 1475 1526  5  3 92  1  0 2021-11-09 10:24:36
 1  0   4352 1120040 984064 2957264    0    0     0  1324 4414 4974 19  5 77  0  0 2021-11-09 10:24:37
 1  0   4352 1119820 984064 2957264    0    0     0   728 2727 3327 10  4 86  0  0 2021-11-09 10:24:38
 0  0   4352 1120044 984072 2957396    0    0     0   524 2834 3182  6  3 91  0  0 2021-11-09 10:24:39
 0  0   4352 1119788 984072 2957940    0    0     0   940 2400 2497  8  5 88  0  0 2021-11-09 10:24:40
 0  0   4352 1119536 984080 2957872    0    0     0   684 2557 2960  6  4 89  1  0 2021-11-09 10:24:41
 0  0   4352 1119724 984080 2957360    0    0     0  1652 3079 3392 11  5 84  0  0 2021-11-09 10:24:42
 0  0   4352 1119724 984080 2957368    0    0     0   452 3308 4560  9  6 86  0  0 2021-11-09 10:24:43
 0  0   4352 1119344 984088 2958396    0    0     0   712 1937 2018  5  3 92  0  0 2021-11-09 10:24:44
 0  0   4352 1118868 984088 2958928    0    0     0   896 2641 2577  9  5 86  0  0 2021-11-09 10:24:45
 0  0   4352 1119468 984096 2957900    0    0     0   416 1707 1641  5  3 91  1  0 2021-11-09 10:24:46
 1  0   4352 1119692 984096 2957400    0    0     0  1452 4067 4737 10  6 84  0  0 2021-11-09 10:24:47
 1  0   4352 1119152 984096 2957396    0    0     0  1072 2566 3414  9  5 86  0  0 2021-11-09 10:24:48
 0  0   4352 1119404 984108 2957348    0    0     0   652 2919 3157  5  4 91  0  0 2021-11-09 10:24:49
 1  0   4352 1119436 984108 2957872    0    0     0   748 2488 2425  7  5 88  0  0 2021-11-09 10:24:50
 0  0   4352 1119308 984108 2957912    0    0     0   444 2746 3126  7  5 88  0  0 2021-11-09 10:24:51
 1  0   4352 1119308 984116 2957396    0    0     0   936 2809 3312 11  6 82  2  0 2021-11-09 10:24:52
 0  0   4352 1119560 984116 2957336    0    0     0  1188 3200 3927  9  6 85  0  0 2021-11-09 10:24:53
 0  0   4352 1119560 984124 2957340    0    0     0   352 2037 2124  5  4 91  0  0 2021-11-09 10:24:54
